laptop_ID,Inches,Ram_In_GB,Weight,Price_euros,Company_Acer,Company_Apple,Company_Asus,Company_Dell,Company_HP,Company_Lenovo,Company_MSI,Company_Others,Company_Samsung,Company_Toshiba,TypeName_2 in 1 Convertible,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,ScreenResolutionWidth,ScreenResolutionHeight,Touchscreen,IPS_Panel,4K_Display,Retina_Display,Cpu_ClockSpeed,CpuBrand_AMD,CpuBrand_Intel,CpuBrand_Samsung,CpuSeries_A6-Series,CpuSeries_A9-Series,CpuSeries_Dual,CpuSeries_M,CpuSeries_Others,CpuSeries_Quad,CpuSeries_i3,CpuSeries_i5,CpuSeries_i7,Total_Memory_MB,MemoryType,GpuBrand_AMD,GpuBrand_ARM,GpuBrand_Intel,GpuBrand_Nvidia,OpSys_Chrome OS,OpSys_Linux,OpSys_Mac,OpSys_No OS,OpSys_Other,OpSys_Windows
1,13.3,8,1.37,1339.69,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2560,1600,0,1,0,1,2.3,False,True,False,False,False,False,False,False,False,False,True,False,131072.0,SSD,False,False,True,False,False,False,True,False,False,False
2,13.3,8,1.34,898.94,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1440,900,0,0,0,0,1.8,False,True,False,False,False,False,False,False,False,False,True,False,131072.0,Flash_Storage,False,False,True,False,False,False,True,False,False,False
3,15.6,8,1.86,575.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1920,1080,0,0,0,0,2.5,False,True,False,False,False,False,False,False,False,False,True,False,262144.0,SSD,False,False,True,False,False,False,False,True,False,False
4,15.4,16,1.83,2537.45,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2880,1800,0,1,0,1,2.7,False,True,False,False,False,False,False,False,False,False,False,True,524288.0,SSD,True,False,False,False,False,False,True,False,False,False
5,13.3,8,1.37,1803.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2560,1600,0,1,0,1,3.1,False,True,False,False,False,False,False,False,False,False,True,False,262144.0,SSD,False,False,True,False,False,False,True,False,False,False
6,15.6,4,2.1,400.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,0,0,0,0,,True,False,False,False,True,False,False,False,False,False,False,False,512000.0,HDD,True,False,False,False,False,False,False,False,False,True
7,15.4,16,2.04,2139.97,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2880,1800,0,1,0,1,2.2,False,True,False,False,False,False,False,False,False,False,False,True,262144.0,Flash_Storage,False,False,True,False,False,False,True,False,False,False
8,13.3,8,1.34,1158.7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1440,900,0,0,0,0,1.8,False,True,False,False,False,False,False,False,False,False,True,False,262144.0,Flash_Storage,False,False,True,False,False,False,True,False,False,False
9,14.0,16,1.3,1495.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,0,0,0,0,1.8,False,True,False,False,False,False,False,False,False,False,False,True,524288.0,SSD,False,False,False,True,False,False,False,False,False,True
10,14.0,8,1.6,770.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,0,1,0,0,1.6,False,True,False,False,False,False,False,False,False,False,True,False,262144.0,SSD,False,False,True,False,False,False,False,False,False,True
11,15.6,4,1.86,393.9,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1366,768,0,0,0,0,2.5,False,True,False,False,False,False,False,False,False,False,True,False,512000.0,HDD,False,False,True,False,False,False,False,True,False,False
12,15.6,4,1.86,344.99,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1920,1080,0,0,0,0,,False,True,False,False,False,False,False,False,False,True,False,False,512000.0,HDD,False,False,True,False,False,False,False,True,False,False
13,15.4,16,1.83,2439.97,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2880,1800,0,1,0,1,2.8,False,True,False,False,False,False,False,False,False,False,False,True,262144.0,SSD,True,False,False,False,False,False,True,False,False,False
14,15.6,4,2.2,498.9,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,0,0,0,0,,False,True,False,False,False,False,False,False,False,True,False,False,262144.0,SSD,True,False,False,False,False,False,False,False,False,True
15,12.0,8,0.92,1262.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2304,1440,0,1,0,1,1.2,False,True,False,False,False,False,True,False,False,False,False,False,262144.0,SSD,False,False,True,False,False,False,True,False,False,False
16,13.3,8,1.37,1518.55,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2560,1600,0,1,0,1,2.3,False,True,False,False,False,False,False,False,False,False,True,False,262144.0,SSD,False,False,True,False,False,False,True,False,False,False
